company,segment,state,city,commodity_type,inbound_materials,outbound_products,why_target,omnitrax_outreach_angle,rail_fit_score,industrial_real_estate_score
Oldcastle Infrastructure,Construction materials,GA,Atlanta,Construction Materials,"Aggregates, cement, steel reinforcement",Precast infrastructure products,"Speculative Southeast manufacturing prospect; verify site need near Fulton County or Savannah markets.",Lead with rail-served industrial real estate and heavy inbound materials,4,4
Owens Corning,Construction materials,OH,Toledo,Building Materials,"Sand, minerals, resin",Insulation and composites,"Speculative Ohio manufacturing prospect; bulk inputs can fit rail-served industrial sites.",Target rail-served manufacturing and storage locations,4,4
USG Corporation,Construction materials,IL,Chicago,Building Materials,"Gypsum, paper, additives",Wallboard and building products,"Speculative gypsum and wallboard logistics prospect for Chicago and Illinois corridors.",Offer rail-served gypsum and building-products distribution sites,4,4
Georgia-Pacific,Construction materials,GA,Atlanta,Forest Products,"Pulp, paper, wood fiber",Paper and building products,"Speculative Georgia forest-products prospect for OmniTRAX rail-served industrial parks; verify site requirements.",Position rail-served paper packaging and building-products logistics,4,4
International Paper,Construction materials,TN,Memphis,Paper and Packaging,"Wood fiber, pulp, paper inputs",Containerboard and packaging,"Speculative rail-heavy paper and packaging prospect for Southeast and port-connected markets.",Target rail-served packaging and forest-products logistics,4,4
Packaging Corporation of America,Construction materials,IL,Lake Forest,Paper and Packaging,"Recovered fiber, pulp, paper rolls",Containerboard and packaging,"Speculative Midwest packaging prospect; verify facility expansion or transload need.",Offer rail-served paper-roll storage and distribution,4,4
Smurfit Westrock,Construction materials,GA,Atlanta,Paper and Packaging,"Recovered fiber, pulp, paper inputs",Packaging products,"Speculative Southeast packaging prospect for Fulton County and Savannah corridors.",Position rail-served packaging manufacturing and distribution sites,4,4
Dow,Chemicals,MI,Midland,Chemicals,"Chemical feedstocks, hydrocarbons",Chemical products,"Speculative chemical prospect; railcar and bulk logistics fit transload-capable OmniTRAX markets.",Target rail-served chemical storage and manufacturing sites,5,5
LyondellBasell,Chemicals,TX,Houston,Chemicals,"Feedstocks, resins, hydrocarbons",Polymers and chemicals,"Speculative Texas chemical prospect for Brownsville or transload-oriented resin flows.",Lead with port/rail transload and industrial real estate optionality,5,5
Westlake,Chemicals,TX,Houston,Chemicals,"Ethylene, chlorine, feedstocks",Chemicals and building products,"Speculative chemical and PVC building-products prospect; verify active site requirement.",Target rail-served chemical and resin logistics,5,5
Olin Corporation,Chemicals,MO,Clayton,Chemicals,"Chlorine, caustic soda, chemical inputs",Chemical products,"Speculative chlor-alkali and chemicals prospect for rail-served storage or transload sites.",Offer railcar handling and chemical transload capabilities,5,4
Celanese,Chemicals,TX,Irving,Chemicals,"Chemical feedstocks, solvents",Engineered materials and chemicals,"Speculative engineered-materials prospect for Texas and port-connected rail sites.",Position rail-served chemical logistics and industrial sites,4,4
Eastman Chemical,Chemicals,TN,Kingsport,Chemicals,"Chemical feedstocks, coal-derived inputs",Specialty materials,"Speculative chemicals prospect for Southeast rail-served growth; verify facility strategy.",Target transload-enabled chemical and specialty materials sites,4,4
Huntsman Corporation,Chemicals,TX,The Woodlands,Chemicals,"Chemical feedstocks, intermediates",Specialty chemicals,"Speculative Texas chemical prospect with railcar logistics fit.",Offer Brownsville and Texas corridor bulk transload options,4,4
PPG Industries,Chemicals,PA,Pittsburgh,Coatings,"Resins, pigments, solvents",Paints and coatings,"Speculative coatings prospect for rail-served chemical inputs near Midwest and Northeast markets.",Lead with chemical input transload and warehouse sites,4,3
Sherwin-Williams,Chemicals,OH,Cleveland,Coatings,"Resins, pigments, solvents",Paints and coatings,"Speculative Cleveland-area coatings prospect; verify real estate timing.",Position Cleveland rail and port access for inbound materials,4,3
RPM International,Chemicals,OH,Medina,Coatings,"Resins, pigments, solvents",Specialty coatings,"Speculative Ohio specialty coatings prospect for rail-served distribution.",Target rail-served storage and regional distribution,3,3
Air Products,Chemicals,PA,Allentown,Chemicals,"Industrial gas feedstocks, equipment",Industrial gases,"Speculative industrial-gas prospect; rail-served sites may support equipment and bulk logistics.",Offer rail-served industrial development and transload review,4,4
Linde,Chemicals,CT,Danbury,Chemicals,"Industrial gas inputs, equipment",Industrial gases,"Speculative industrial-gas prospect for port and heavy-industry corridors.",Position rail-served supply chain and industrial gas project sites,4,4
CF Industries,Energy,IL,Deerfield,Fertilizer,"Natural gas, ammonia, nitrogen inputs",Nitrogen fertilizer,"Speculative fertilizer and agriculture-input prospect for river, rail, and agricultural corridors.",Target rail-served fertilizer transload and storage sites,5,4
The Andersons,Warehousing/distribution,OH,Maumee,Agriculture,"Grain, fertilizer, feed ingredients",Agricultural products,"Speculative agriculture logistics prospect for Nebraska-Kansas-Colorado and river-port markets.",Offer grain and fertilizer transload locations,5,4
Cargill,Warehousing/distribution,MN,Wayzata,Agriculture,"Grain, oilseeds, feed ingredients",Food and agricultural products,"Speculative food and agriculture prospect across rail-served OmniTRAX corridors; verify specific lane need.",Lead with bulk agriculture transload and industrial sites,5,4
ADM,Warehousing/distribution,IL,Chicago,Agriculture,"Grain, oilseeds, feedstocks",Food ingredients and agricultural products,"Speculative agriculture and food-processing prospect for Illinois and port-linked rail corridors.",Target rail-served processing and transload sites,5,4
Bunge,Warehousing/distribution,MO,Chesterfield,Agriculture,"Oilseeds, grain, feedstocks",Agribusiness products,"Speculative agriculture logistics prospect with rail and river-market fit.",Offer rail-served bulk handling and warehouse sites,5,4
Tyson Foods,Warehousing/distribution,AR,Springdale,Food,"Feed ingredients, packaging, refrigerated inputs",Prepared foods,"Speculative food manufacturing and cold-chain prospect for Midwest and Southeast rail-served sites.",Position industrial real estate with rail and highway access,3,4
JBS USA,Warehousing/distribution,CO,Greeley,Food,"Livestock, packaging, refrigerated inputs",Food products,"Speculative Northern Colorado food logistics prospect; verify rail or warehouse need.",Lead with Great Western Railway and industrial park access,3,4
Lineage,Warehousing/distribution,MI,Novi,Cold Storage,"Frozen food, refrigerated goods",Cold-chain logistics,"Speculative cold-storage prospect for port and interstate-connected OmniTRAX industrial sites.",Target rail-adjacent cold-chain and distribution sites,3,5
Americold,Warehousing/distribution,GA,Atlanta,Cold Storage,"Frozen food, refrigerated goods",Cold-chain logistics,"Speculative Georgia cold-storage prospect for Savannah and Atlanta corridors.",Offer port-proximate distribution and industrial real estate,3,5
DHL Supply Chain,Warehousing/distribution,OH,Westerville,Logistics,"Consumer goods, automotive parts, industrial goods",Contract logistics,"Speculative logistics prospect for Savannah Gateway, River Ridge, and Access 25 distribution sites.",Target large industrial park and port-adjacent warehouse opportunities,3,5
GXO Logistics,Warehousing/distribution,CT,Greenwich,Logistics,"Consumer goods, industrial goods",Contract logistics,"Speculative third-party logistics prospect for rail-served industrial parks; verify tenant demand.",Position multimodal distribution and warehousing sites,3,5
Ryder System,Warehousing/distribution,FL,Miami,Logistics,"Fleet equipment, consumer goods, industrial freight",Dedicated transportation and warehousing,"Speculative logistics prospect for industrial park and transload support operations.",Offer rail-served warehouse and truck-rail transfer locations,3,4
Schneider National,Warehousing/distribution,WI,Green Bay,Logistics,"Intermodal freight, consumer goods",Truckload and intermodal logistics,"Speculative intermodal and transload partner prospect near rail-served hubs.",Lead with rail-to-truck transload and industrial real estate options,4,4
Knight-Swift Transportation,Warehousing/distribution,AZ,Phoenix,Logistics,"Consumer goods, industrial freight",Truckload and logistics services,"Speculative logistics prospect relevant to Savannah Gateway tenants and Sonoran Valley market coverage.",Position warehouse and drayage-friendly industrial sites,3,4
FedEx Logistics,Warehousing/distribution,TN,Memphis,Logistics,"Parcel freight, consumer goods",Logistics services,"Speculative distribution prospect for River Ridge and major interstate-connected parks.",Offer speed-to-market warehouse sites with rail optionality,3,4
UPS Supply Chain Solutions,Warehousing/distribution,GA,Atlanta,Logistics,"Parcel freight, consumer goods",Logistics services,"Speculative prospect for River Ridge and Savannah Gateway distribution ecosystems.","Position port, airport, interstate, and rail-connected industrial sites",3,4
Caterpillar,Machinery,IL,Irving,Machinery,"Steel, castings, engines, components",Construction and mining equipment,"Speculative machinery manufacturing prospect for Illinois and Texas rail-served heavy industrial sites.",Target rail-served manufacturing and oversized equipment logistics,4,4
John Deere,Machinery,IL,Moline,Machinery,"Steel, engines, tires, components",Agricultural equipment,"Speculative agriculture machinery prospect for Midwest rail-served manufacturing and distribution.",Offer heavy-equipment rail loading and industrial real estate,4,4
Toyota Motor Manufacturing,Automotive plants,KY,Georgetown,Automotive,"Steel, components, parts",Vehicles and components,"Speculative automotive supply-chain prospect for River Ridge and Southeast rail-served supplier sites.",Target supplier parks and rail-served component logistics,3,4
Hyundai Motor Group,Automotive plants,GA,Savannah,Automotive,"Steel, batteries, components",Vehicles and components,"Speculative automotive supplier prospect tied to the Savannah-area manufacturing ecosystem; verify specific supplier need.",Position Savannah Gateway rail-served supplier and logistics sites,4,5
Ford Motor Company,Automotive plants,MI,Dearborn,Automotive,"Steel, components, batteries",Vehicles and components,"Speculative automotive prospect for rail-served supplier and distribution sites.",Offer rail-served component storage and industrial development,3,4
General Motors,Automotive plants,MI,Detroit,Automotive,"Steel, components, batteries",Vehicles and components,"Speculative automotive prospect for Midwest and Ohio rail-served supplier logistics.",Target industrial sites with rail and interstate access,3,4
Boeing,Machinery,WA,Seattle,Aerospace,"Aluminum, composites, components",Aircraft and aerospace systems,"Speculative aerospace supply-chain prospect for River Ridge and manufacturing sites with heavy logistics needs.",Offer rail-served supplier sites and oversized freight options,3,4
Lockheed Martin,Machinery,MD,Bethesda,Aerospace,"Advanced materials, components",Defense and aerospace systems,"Speculative aerospace and defense supplier prospect; verify project-specific requirements.",Position rail-served manufacturing sites with secure logistics review,3,4
