location,type,latitude,longitude,rail_connections,capacity_score,major_city,region,port_nearby,interstate_access,transload_hub,logistics_score,source_url,source_confidence,last_verified,data_gap_notes
Port Muskogee Railroad,Port Terminal Railroad,35.7479,-95.3697,1,4,Muskogee,South-Central,Yes,US-69/US-62,Yes,9,https://omnitrax.com/our-managed-railroad-port-muskogee-railroad-llc/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
River Ridge Railroad,Industrial Park Railroad,38.3676,-85.6702,1,5,Jeffersonville,Midwest,Yes,I-65/I-64/I-71,Yes,9,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
River Ridge Development Authority,Industrial Park,38.3676,-85.6702,1,5,Jeffersonville,Midwest,Yes,I-65/I-64/I-71,Yes,9,https://omnitrax.com/river-ridge-development-authority/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Sand Springs Railway Company,OmniTRAX Railroad,36.1398,-96.1089,2,4,Tulsa,South-Central,No,I-44/US-75/US-412,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Santa Maria Valley Railroad,OmniTRAX Railroad,34.9530,-120.4357,1,3,Santa Maria,Pacific,Yes,US-101/SR-135,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Savannah Gateway Industrial Hub,Industrial Park,32.2960,-81.2354,2,5,Rincon,Southeast,Yes,I-95/I-16/Hwy-21,Yes,10,https://omnitrax.com/savannah-gateway-industrial-hub-2/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Savannah Industrial Transportation,Industrial Park Railroad,32.2960,-81.2354,2,5,Rincon,Southeast,Yes,I-95/I-16/Hwy-21,Yes,10,https://omnitrax.com/savannah-gateway-industrial-hub-2/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Seaview Transportation Company,OmniTRAX Railroad,41.4834,-71.5245,1,3,North Kingstown,Northeast,Yes,RI-403/US-1,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
South Branch Valley Railroad,OmniTRAX Railroad,39.0623,-78.9695,1,3,Moorefield,Northeast,No,US-48/US-220,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Sonoran Valley Rail,OmniTRAX Railroad,33.0581,-112.0476,1,3,Maricopa,Mountain,No,I-8/SR-347,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Stockton Terminal and Eastern Railroad,OmniTRAX Railroad,37.9577,-121.2908,2,4,Stockton,Pacific,Yes,I-5/SR-99,Yes,9,https://omnitrax.com/stockton-terminal-and-eastern-railroad/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Sunrise Industrial Rail,OmniTRAX Railroad,44.9281,-74.8919,2,3,Massena,Northeast,Yes,NY-37/US-11,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Winchester and Western Railroad New Jersey Division,OmniTRAX Railroad,39.4021,-75.0393,2,4,Millville,Northeast,Yes,NJ-55,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Winchester and Western Railroad Virginia Division,OmniTRAX Railroad,39.4562,-77.9639,2,4,Martinsburg,Northeast,No,I-81,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
